Ticker,Win_Prob,Price,MA_Conv,Vol_Z,Breakout,MA20_Slope,MA20_DP,Ov_Supply,POC_Dist,ATR_Pct,Dollar_Vol_M,Resonance_Score,MktCap_B,Cap_Tier
EBAY,0.539803504952678,111.83999633789062,1.866691065011017,5.683085525969485,3.3793406194027655,1.2068497473823423,7.73075578754199,18.19975857078974,2.8912765604292443,3.1847153776158654,525.41,74.34408602150539,49.77,Large
RDWR,0.521274472537108,29.1299991607666,1.6344944226497036,3.6234109753056787,1.6243116015208232,1.2378472727088703,4.596045823046287,30.888720752210347,7.490770297590207,3.999263363621899,7.89,63.26881720430107,1.23,Small
GRDN,0.5394609855780146,44.9900016784668,4.264860563531033,8.366014082265053,9.0587380007889,2.84581748705409,18.613238376751355,5.831368191918734,24.041910974379853,4.4604999214300545,21.1,61.98709677419356,2.85,Mid
ADM,0.5154705027943662,85.18000030517578,6.964919151415927,3.832088334262264,1.7341864766570716,0.8358020282755714,6.07720680933445,9.598294553205761,8.960469901429038,3.3223763630492407,328.28,61.58709677419355,41.05,Large
RUSHB,0.5325259551028584,55.41999816894531,6.340337655632975,9.782748969104787,7.111588877219665,0.9764162601259263,5.306053632702954,3.7499466777795636,9.814614771982463,3.9878536763029064,9.71,60.94623655913978,6.47,Mid
MG,0.5167544588464571,20.75,9.75138321938298,9.320997750163826,7.462841607604727,0.7277182535994027,9.440933554152227,0.0,10.255049608762798,3.4733205982411786,5.62,59.94838709677419,0.66,Small
NGVC,0.5415273389045376,30.979999542236328,4.831576408529989,3.4708941994039724,5.094913076903673,1.2257459669630137,12.165092689311216,21.894773230942075,9.707935729657489,3.8112152628984513,4.54,59.75913978494623,0.71,Small
EGY,0.5020923250621669,6.059999942779541,6.954291624302848,3.6824478955271895,0.28961475332616676,0.7216493713363605,2.020200073786402,19.39517556204376,9.748781653121611,3.475956317894005,7.78,58.984946236559146,0.64,Small
ABM,0.5058552009532709,49.77000045776367,9.916726360204864,2.692156456911584,3.2669030690493073,0.8358441775168824,6.323433021940364,3.446002862400327,10.174125674835722,3.115044267361058,22.64,55.95268817204302,2.92,Mid
REPX,0.5308302500265801,43.63999938964844,14.397450178597476,7.263760875967367,6.221398533195711,2.1037594532096047,14.330630031337419,1.1184667058925966,7.196777639554519,3.3782911005164507,11.63,55.578494623655914,0.95,Small
ARW,0.5226943700748605,219.30999755859375,3.85578277655356,1.6165605197366721,3.728766648845628,0.48302994998595034,4.012326872252789,16.896911213092768,14.313260662665048,3.4869022521864372,124.74,55.40215053763441,11.16,Large
IMOS,0.5425758824619848,61.29999923706055,4.124179858723939,2.139916913976219,7.560086829963346,0.9886713939461014,13.455488843014418,32.02767834260629,-19.11861921525191,3.725822244404145,6.38,55.15268817204301,2.13,Mid
AVT,0.5212507408693874,96.12000274658203,7.456152471057734,2.7517442757736914,5.387364621699455,0.7965612686400432,8.874505917737544,8.166809709120884,18.81664529127729,3.658866456941081,114.69,54.29677419354838,7.89,Mid
ASX,0.5385398781745903,41.630001068115234,7.757253782339118,2.8380951146449167,8.94198449763831,1.458972935406734,14.02356335749836,7.575353757141773,23.563859026476468,3.8339460660387292,325.05,52.83870967741936,108.39,Mega
BSVN,0.5020923250621669,54.150001525878906,12.72207945425611,3.220239968734413,1.2651150025920415,0.7441809300953219,4.476171354077391,18.287159946278532,9.239463100986276,3.266719760783416,2.43,52.26236559139785,0.52,Small
FFIV,0.5284116594682488,432.0299987792969,7.0636685419943985,1.519139258765292,6.775101170793342,1.7179895958560902,12.32352996246426,0.6624886952755805,42.213366676603464,3.2578769315369835,260.06,51.707526881720426,24.46,Large
ARE,0.5032309565252461,53.29999923706055,7.2510303490350525,2.2777070356727656,1.7088205045279192,1.337188110456957,-0.3552111337457412,8.752615517257297,33.62879584492483,3.726882599392624,102.2,51.60860215053764,9.17,Mid
PAGS,0.5021604120965714,9.260000228881836,1.7241988362731633,1.2740740473802046,0.8213300652549951,1.9770907077604902,10.645030722399163,40.43161894559048,10.516828016242108,3.8670316683586017,26.41,51.3978494623656,2.59,Mid
GFR,0.5189458396260404,6.659999847412109,4.150787388343688,1.3745721020134802,4.807615694707346,0.6892726166435583,3.255814640688188,8.19058539132594,6.5599975575441505,4.032602836246301,5.43,49.488172043010756,1.6,Small
SIG,0.5243883630438974,100.37999725341797,3.3613372563403363,1.683963286862916,10.700883749379178,3.0801056696169042,23.36241104207267,7.614874814465711,-2.049186216535239,4.8298609467726425,84.94,48.744086021505375,3.85,Mid
PRM,0.5018906211279297,32.18000030517578,4.663413848105044,0.607248810009839,-1.9542111683579417,0.470972791395559,2.3536887993784124,50.28814231422708,-6.453491634203845,3.033161854287643,44.34,48.73548387096774,5.27,Mid
TK,0.5042049133211641,14.710000038146973,13.280840691412488,1.9202098559109833,8.022764952913814,1.661067487655166,11.102721241162339,0.0,36.83720965375442,3.118772481028878,8.22,48.318279569892475,1.29,Small
CHA,0.5021604120965714,12.020000457763672,5.84550712269904,2.1409774164487088,3.09190257769369,2.3571239782821647,11.193339417816077,21.826221328989018,3.3533993074080732,4.406941429437828,10.01,48.02150537634409,2.29,Mid
BE,0.5498014226320406,265.6300048828125,7.3787574873664274,6.977225716401489,9.736350287311836,4.300723303027756,31.85902651105091,31.333733089572036,5.400365201003518,6.739046720298797,4254.11,47.10537634408602,78.24,Large
TEN,0.5153155501606116,52.09000015258789,13.552957709107933,2.1333533802914566,14.944557404215791,3.453983716851769,21.962072744004672,3.1004754577914544,8.747387250828757,3.321161446895011,15.3,47.04086021505376,1.57,Small
PVLA,0.5058892755803427,150.55999755859375,12.741485370121966,2.9343948612919615,-0.38441111690777635,0.44359939695477657,5.998313626527574,18.666176805052572,1.5855817679352628,3.791653214072162,31.29,46.666666666666664,2.17,Mid
QCOM,0.504064041189233,177.72000122070312,5.502037095285088,2.9979243296206026,0.37677352966620264,2.1103759785004805,11.158472233737676,58.769652009919916,-0.12962419102710301,5.044710632005254,2215.01,46.42150537634409,189.82,Mega
QRVO,0.5246949627233106,117.18000030517578,11.403388606559123,3.291546058776725,12.528899514361505,3.0601369204619613,22.624532543650623,2.642923124294365,30.927374642308948,4.607259138301067,145.57,45.05806451612903,10.34,Large
PNTG,0.534874065768016,39.619998931884766,10.430181204275394,2.2208774801754263,0.15014617348697565,0.5936901049995619,1.9032866343137962,24.57288269447329,-1.0242314761546158,3.8121066918614033,11.91,44.830107526881726,1.38,Small
VIR,0.5112659312057062,10.600000381469727,12.22068979787788,4.782750280603348,-2.2861326232002126,1.6729934122593197,8.384464936642406,18.716663239072215,15.720530107948004,4.995282911074551,19.8,44.5247311827957,1.79,Small
CMRC,0.5313718708965693,3.3299999237060547,2.7712123311687242,1.5920087723630414,17.825705819945473,7.160135591169812,49.99999460768973,8.942006313430303,43.5344835814791,6.8339767123445725,3.86,44.365591397849464,0.28,Micro
AUR,0.5440236544258178,6.309999942779541,3.1468013708899316,1.5212890207398813,-0.04910506537222499,0.5710057849204816,1.1217976637459948,50.02683583342444,2.601623494390108,4.924158223444426,176.69,43.76774193548387,12.65,Large
VSTS,0.5485224278886305,13.819999694824219,12.347552916897893,2.6403725203189454,-0.9432632998970397,0.992024971267966,8.904650525746826,28.45337702183709,15.166664122271268,3.9528115549761615,19.79,43.3247311827957,1.83,Small
MARA,0.5428671813576118,13.239999771118164,6.278714274250991,2.596105841393501,11.351735625106949,2.773900473968986,17.58436502498283,21.78513777001849,17.58436502498283,6.295587264072361,653.32,43.27311827956989,5.11,Mid
SWKS,0.5246949627233106,88.76000213623047,11.822744402574017,5.417532140668532,17.538786447199644,4.26789220706624,32.201374654157895,3.1526888662533334,32.457841077900504,6.4379062378968,579.32,43.03225806451613,13.36,Large
NVA,0.5062051347826703,6.059999942779541,10.062416891048233,7.529891528484496,4.141604853715093,2.8364403747492197,13.059697606305265,36.88119105522273,7.829182670853303,6.53936867996152,2.11,42.95913978494624,0.23,Micro
CRESY,0.5279325019238252,12.760000228881836,4.568008116044951,0.4859545129949568,7.73387557109013,2.3107162626393523,14.234558116252813,1.4268738630029585,15.894640903370641,4.064038930240519,3.2,42.85591397849462,0.91,Small
CIG,0.5030496965896737,2.140000104904175,4.127264221425895,0.012516380467788808,-1.769550751730439,1.8000495259295288,11.458341282412617,52.134563273455115,4.564470372118632,3.2376525244189236,10.38,42.83010752688172,6.12,Mid
AMBQ,0.5415273389045376,65.45999908447266,9.302274623808506,4.58173563599898,0.3627523672574321,0.648529422218776,10.911552993308614,60.292789533099835,-1.3711068621923899,5.306840292920668,33.6,42.55913978494624,1.58,Small
INTC,0.5457982204784269,108.5999984741211,3.5492368949850124,1.3804931441902648,9.39796556102499,1.9584905082997002,20.57288646816322,36.63288899455144,31.572567566298197,5.1525922584446295,11660.06,42.550537634408606,570.64,Mega
TH,0.5043559316650991,21.190000534057617,10.971389993404742,2.271150042327575,12.64386387203441,2.3309583868964237,18.711485047742997,0.0,10.36458172884914,4.393244357251366,32.17,42.30537634408602,2.08,Mid
PRAA,0.5313718708965693,21.0,6.55752746320818,0.5609276314471057,8.387096240258774,1.0219511072988983,7.25229868107501,5.849153161140593,40.56225294121194,3.6836714971633184,8.12,41.956989247311824,0.79,Small
APA,0.5029980357353424,44.869998931884766,14.827613296847094,1.7843079849289798,2.195597825727189,0.5622931338277563,3.410923168980968,2.4539784013406725,17.389055804351745,3.5260603438265465,250.21,41.65591397849462,15.72,Large
VOXR,0.5086423543010227,5.71999979019165,11.726272633246483,1.7846853740297348,0.6023789038349843,0.8067016895902317,-0.69445203287789,23.24292356027194,16.62691344724899,3.7512485268095213,2.5,41.15698924731183,0.4,Small
BBD,0.5099599465718628,3.430000066757202,3.1604344249181926,-1.0367733587250287,-1.928537510158192,2.032211125281478,10.417416743588186,55.733860167945416,-14.434234955068916,3.1645489494128287,102.31,40.649462365591404,36.26,Large
ETD,0.5008039822909965,21.40999984741211,12.389195539661303,0.5797606241999983,0.20750172774300266,1.140192533446397,4.1836028738329905,11.029999223882504,18.307710548394308,3.00569238076865,11.85,40.53333333333334,0.54,Small
EFSI,0.5153155501606116,45.93000030517578,8.184405384065215,0.30939411461350175,5.364578435378425,1.0747074507391616,8.555894148669065,3.3702694743042256,12.176051274544184,3.409691625669933,2.62,39.68172043010753,0.25,Micro
NXDR,0.5001832195412118,2.490000009536743,13.657566450279141,1.4243126031690931,4.630640991820162,0.30257156913770666,4.184096242737898,7.504193505847337,29.68750337998472,3.605850510128898,5.81,39.53548387096774,0.96,Small
