Ticker,Win_Prob,Price,RS_Rating,Bias,Vol_Dry_Up,Vol_Z,Up_Shadow,Dn_Shadow,Turtle,Ov_Supply,POC_Dist,MA20_DP,ATR_Pct,Dist_52W_High,MA50_DP,VCP_Ratio,Dollar_Vol_M,Resonance_Score,MktCap_B,Cap_Tier
RHI,0.587380741108329,45.310001373291016,79.42679639669778,6.436389101073403,1.033144417680718,-1.2917054121769576,1.235924832506171,0.30898120812654273,0,0.0,101.4986166348657,-13.068785935901856,3.35308162858959,-1.6909305801579586,6.726596261013543,0.7684749961364038,106.64,72.58785942492013,4.64,Mid
TBI,0.6198706522309138,10.699999809265137,140.2072908304278,5.799178435893443,0.43663309221311747,-0.47317040438499963,2.2429885548962183,1.0280341927830408,0,0.9310045344626181,183.81962497509915,-44.067795462421806,3.9452584057002174,-2.9918398156410744,3.5450483273098654,0.7864237175485258,3.45,68.02555910543131,0.33,Small
MAN,0.5531419693854914,62.38999938964844,115.50847896404468,6.695168179711622,0.46208177305648385,-0.7221188621773269,1.8753037266705734,0.6731818769792544,0,0.0,72.34806097793813,-7.974056564489465,3.3029559174267966,-2.3325010230583487,1.39982364947962,0.9204678716479217,84.46,65.47444089456869,2.9,Mid
GEO,0.5672891732495892,32.279998779296875,101.87986574027437,2.5592110718719576,0.8308948085586549,-0.6766414384690997,0.8674064122573053,0.06195928909352932,0,2.5434443310924517,45.405394907602236,0.647455032489795,3.5271727804693973,-2.624442553574575,-1.6285492148244323,0.8598947209520033,63.53,62.9856230031949,4.25,Mid
ZETA,0.6200704843867533,30.540000915527344,67.42920217961415,9.440795150690754,0.7104622937343648,0.19459483933865057,0.9659402753510339,0.8182675279070573,1,0.0,12.818623050218958,-23.333328328406452,4.548342926463353,-0.9566991331103866,3.351355887566945,0.8891862145537697,267.2,61.66134185303513,7.67,Mid
NSIT,0.5572889690724556,155.64999389648438,73.525548400534,4.531133707205728,0.5611633168992622,-0.9655263732368233,0.7870261172785202,0.42402083469081286,0,0.993379819205931,125.54700634259532,-15.814795475521267,3.067092347054914,-1.8383681771017915,-6.488409219095481,0.8704503685975806,65.54,60.621405750798715,4.57,Mid
KFRC,0.5681231549715013,58.099998474121094,107.17667256577626,-0.07567690431256084,0.8883061235685984,-0.29761812759379924,1.592081344815593,2.564540280336773,0,12.341061361353034,27.685838447513795,-4.086664921747552,3.354439168108207,-5.804153393780441,-0.749140550018879,0.8202291496680726,14.38,60.321086261980824,1.04,Small
KNSA,0.5647565954287126,78.08000183105469,62.752323617205505,0.08845084431365283,0.5150405741569486,-0.43836949146380694,0.268953739171717,0.4738764573518896,0,11.336876094978939,31.891893284595408,-2.3136955951170988,2.9595122268666074,-5.85965814713637,-4.943737964190402,0.7310532004748461,62.01,59.092651757188506,6.09,Mid
CHEF,0.5512552123278777,115.0,48.339202087993584,4.132239089801955,1.0074726748305216,0.8731921832137997,0.26521765667228614,0.04348091457163277,0,1.7266273706187658,5.427207617818024,4.464674117000243,3.304037722001165,-1.985853400385892,-2.1543767506509286,0.933742182561773,71.8,58.306709265175726,4.69,Mid
RNG,0.6103029329066089,69.37999725341797,78.61629100880616,7.47714412098431,0.6583021924134052,-0.4146837101665203,1.0738004843818165,0.8503839164580758,0,0.0,43.906730811914215,-13.517390516459194,4.2957018871229415,-1.483856234350453,2.5042225695749054,1.0012900326681666,136.8,58.07507987220447,5.79,Mid
