Ticker,Win_Prob,Price,MA_Conv,Vol_Z,Breakout,MA20_Slope,MA20_DP,Ov_Supply,POC_Dist,ATR_Pct,Dollar_Vol_M,Resonance_Score,MktCap_B,Cap_Tier
FSUN,0.5209160464354513,39.79999923706055,0.42165504008287386,0.6001674688647667,8.222996736164257,0.5905537727574619,4.930131602398884,1.5674270350416284,3.8893182206185863,3.3492460708035487,11.72,75.41155070486585,1.97,Small
JCI,0.5012116626915659,153.64999389648438,2.601298236641974,0.34369566369263543,6.905173407405704,1.0578605310912552,9.336081428207486,0.0,6.111872001481984,3.3427084577943904,665.31,72.7580718508413,93.07,Large
TDY,0.5153155501606116,683.72998046875,1.8247509605549348,0.010829011164532228,5.912365383654859,0.8030678805777451,8.267348511955412,2.4606358282980323,5.1083751681320395,3.2547837660515206,266.8,70.45020463847203,31.68,Large
BA,0.5229739679674015,240.19000244140625,1.1712185684528338,-0.019150219064618623,8.87518630969764,0.45307405648211646,7.655417410359543,2.4367568476014774,4.79036490810716,3.397940879832225,1503.41,69.38608458390179,189.84,Mega
SHW,0.5153155501606116,369.67999267578125,2.800807330275388,-0.10830009488591641,10.157569666891082,0.9552771717570124,11.33933501032756,0.9254442581995903,7.443248410593273,3.2294331183091107,907.82,68.67212369258753,89.74,Large
PCAR,0.5072706415539386,133.33999633789062,7.487565424307133,0.982387456685266,2.9624653801417153,1.1122041022799265,8.160283629238306,6.413627469172248,12.097519763526243,3.08931021567929,475.01,67.8262846748522,70.19,Large
KAI,0.5224653161368553,337.1199951171875,1.9764367707989883,1.3002376434075875,7.585859806899932,1.434213474650715,16.383509849308325,10.180196253345228,3.0544248364590483,3.9372369393883417,50.12,67.65347885402456,3.98,Mid
CG,0.5068028943826913,49.84000015258789,5.513739693591185,1.8437463482784016,5.583567922104483,2.0288503555343684,12.81122636529479,22.959958043830152,21.38333776285335,3.3951488942883294,175.38,67.13506139154161,17.94,Large
WFG,0.5064771815930017,70.26000213623047,3.295777989223641,0.8859828855253054,3.764532012191684,0.510635567305704,5.654138550637485,11.54265283882896,17.721165509828676,3.7056266883788926,15.31,66.98044565711687,5.5,Mid
ALLE,0.5153155501606116,168.5800018310547,6.470976642627389,0.35323862685503626,13.60067981532078,2.797548748795283,24.809352698228018,1.943856539015816,9.063850580894776,3.2797060292930835,212.94,66.12551159618008,14.34,Large
SWIM,0.5043559316650991,7.300000190734863,1.2100260917760741,3.6182580054120552,24.679763735393475,0.558179556598389,21.869790808914523,0.0,3.693185088831568,4.880626946598998,5.94,66.10959527057754,0.86,Small
GFF,0.5046909997071299,102.80999755859375,6.37063525184278,1.897022346115415,12.883122173264713,0.5836683091283209,12.176754879204083,0.0,6.627255248839278,3.7968787912686155,36.05,65.7594361073215,4.72,Mid
MBWM,0.5019325734689888,61.97999954223633,10.467876050637205,0.9201829127840552,5.312342610469371,1.1306716025217796,9.505302496571709,0.0,8.565421924142559,3.1565485878669572,9.01,64.90450204638472,1.07,Small
EOG,0.5041541380531815,134.22999572753906,4.848172699542057,0.6622408416088145,-4.766315513073604,0.8900172106166537,1.2626846033813235,41.8039871149292,-1.7688184650301026,3.3697490961057874,483.99,64.38835834470214,71.49,Large
SKY,0.5160384719192815,91.16000366210938,3.067557594629098,1.8078936344796432,10.748675671376628,0.522074295463847,9.871040521648112,9.855271552219325,30.69534575168806,4.266048138785057,69.56,64.20645748067304,5.0,Mid
MMSI,0.508182205087932,87.18000030517578,9.961530845504782,2.6188528423405,12.995522331828843,2.9269142026077466,21.998322728636722,0.0,21.539099714169136,3.5574999194566677,78.91,63.449295134151896,5.21,Mid
HY,0.510118016944151,40.470001220703125,4.480744697383461,6.01820042746893,15.478604470991856,2.134495116493237,26.11405742601186,0.0,8.379732918372245,4.60835217094497,3.86,63.39927239654388,0.73,Small
ACAD,0.5138214642519242,28.799999237060547,13.010318838280966,2.6938010049184893,11.274242241810512,0.6983753040419621,9.04960016420498,0.0,29.905273512186,3.1994052251022453,45.77,63.39472487494315,4.93,Mid
VZ,0.5177191701673062,46.470001220703125,3.3247085787050255,-0.1196873136810388,0.2521583254991672,1.7845167351599935,11.889626185664136,49.42784693928143,-4.015526659928857,3.2163611703536406,1375.14,61.7462482946794,193.07,Mega
MTA,0.5195108211622816,8.390000343322754,1.500738287323478,0.312187942901342,12.602339156859625,1.9637357951186682,19.68616361178322,8.217763122667076,9.38722633341657,4.415545192753354,4.05,61.5006821282401,0.78,Small
SBRA,0.5078095941634647,21.079999923706055,5.537074043387183,-0.15413270482053962,0.680596191917605,0.6078517800931994,6.036221396061755,8.712691800477065,7.881263745879087,3.2427505596050525,71.84,61.45520691223284,5.32,Mid
BIO,0.508182205087932,347.8599853515625,9.832009334971085,0.6289768407374025,10.905466762571733,2.348449675745639,17.01425820095165,0.0,23.433388798096928,3.5094169834160684,120.63,61.15734424738518,9.31,Mid
ORLY,0.5066086501482127,93.44000244140625,3.44213268211994,-0.29515243141493774,2.874729828658291,1.1030704991118756,9.774435416193123,19.75733771669682,4.343941102220476,3.1762177100301994,799.92,61.145975443383364,76.26,Large
PRGO,0.5015406896729545,13.270000457763672,3.305374715563545,2.2552298803250688,22.064059883188396,0.9254820598885353,27.47358935637077,7.894330460263885,33.36684132469413,4.6964151579777,48.65,61.077762619372436,1.84,Small
VLGEA,0.5197430216918382,43.119998931884766,3.4066779126449114,-0.25490598412291743,-0.9623574697593461,0.46495515395910186,1.65016688622916,27.46045068013745,15.38772254433809,3.296448152020897,2.52,60.07276034561164,0.64,Small
BKNG,0.5116602933688517,207.02000427246094,7.224801874196328,0.283906395135438,11.655553401622797,1.553625847676352,17.946672306891507,0.0,22.668493894678964,3.810880225857956,1559.87,59.95679854479309,160.42,Mega
EQIX,0.5189605594210456,1056.199951171875,2.358100250592494,-0.21875207595181992,0.34259653609882207,0.49269329593537503,2.0611242141822377,37.167437419258206,11.4148024864915,3.4541603946589157,651.35,59.927239654388366,104.22,Mega
NEU,0.5222768557137544,881.6799926757812,12.661176445365797,1.2552265300308176,11.010943908644986,1.6210555887972897,15.032743704809329,1.0183626012348648,29.54812459190826,3.3938038698605095,104.3,59.82719417917235,8.11,Mid
NVDA,0.5193817882678351,219.22000122070312,3.6562846995051372,-0.1633928852300452,6.557692293368557,1.0132986240514685,8.107309665791183,9.023721922836762,18.712414860349547,3.6528862064879055,32816.44,59.73169622555707,5309.73,Mega
SARO,0.5057001220287725,31.010000228881836,3.598971046248478,-0.48250773480156933,9.099865119360965,0.45059358708514163,10.513188948613,4.502036758274172,0.681821418884271,3.125720159859486,117.14,59.436107321509766,10.31,Large
TAL,0.5313718708965693,12.09000015258789,7.588337599038073,0.6149839276974277,11.598283980251646,2.9115607899698324,17.151167731912505,7.554876029838536,24.51081467400284,3.748670231167586,50.53,59.38608458390178,6.71,Mid
INFU,0.5257482887901627,12.149999618530273,1.7936639646313466,1.0215849472884506,27.131942216990456,2.317863046799452,24.743325501002605,2.761780415430267,20.89551629583503,5.52616159161285,2.61,59.090495679854484,0.25,Micro
GRMN,0.5187909608639252,302.54998779296875,6.9482997174657735,0.19325104906366353,15.987085133105905,3.5168618958446767,23.737268246624897,2.0437432771602726,2.61845862777757,3.7613620830636676,290.65,59.08140063665302,58.35,Large
WOOF,0.5090709600242217,2.9200000762939453,1.3178583875487289,-0.2269529054360601,6.61311957226747,2.0575750870570944,14.509809049073692,28.03237368860374,-9.597521388637272,3.7059676821991467,5.91,58.9449749886312,0.83,Small
