Ticker,Win_Prob,Price,MA_Conv,Vol_Z,Breakout,MA20_Slope,MA20_DP,Ov_Supply,POC_Dist,ATR_Pct,Resonance_Score
PK,0.500026836360566,11.510000228881836,3.689466481262868,0.8180120706861687,2.8872815908375715,0.4264108636010777,2.4933276761720644,0.579179684338917,10.714860689314095,2.8633487828490605,77.48688602765856
TAC,0.5239329828004013,13.569999694824219,1.8469867313075026,4.590228890552143,4.497148767597278,1.2707993439168563,7.783951789365534,18.57306786929017,-1.37455648893596,3.279291887918979,76.37577491654744
NVRI,0.5038969556740541,19.600000381469727,3.5039779830849516,0.5843608499913533,0.9554736486907545,0.2556162368296723,1.2919896385453786,9.89655155027718,7.633176094478598,2.922740634720292,74.96900333810206
SHBI,0.5109029294931654,20.219999313354492,4.191501311788458,0.3244647225124255,3.7721291901239864,0.6040892607140994,5.367372332351956,1.6100735498091903,3.0441919302051237,2.942631805119039,73.27134000953744
AHR,0.5024746650000315,50.189998626708984,2.586684978801629,0.5173901216392441,-0.591226509082196,0.3538030208862412,-0.25834870608320465,32.659679953325984,7.565117657144922,3.0637867932816545,73.11874105865522
XRN,0.5544647319915268,37.41999816894531,1.5257662880840188,0.8317512208123795,7.78072744135649,0.8964870042528797,6.481404993704741,2.0222019826027267,16.700992955610346,4.383627101236027,68.38817358130663
ANIP,0.5235238042350369,82.72000122070312,3.3337423950330547,0.737190519539598,2.3433075778440946,0.6631920148409378,3.919601515516593,16.288778625638823,1.050574888747687,3.826159615511409,67.53457319980926
IMAX,0.5161526679691119,39.119998931884766,4.345059683306907,3.6039360219199414,6.020566780253158,-0.29042737408286506,5.387931189373477,11.137247627082463,7.976813210277733,3.932953824066252,67.1101573676681
MOG-A,0.5072876172361026,318.94000244140625,4.866422662259557,-0.21560979801707333,3.080502506079827,0.5686226624952826,3.708551414136011,16.7499411815694,9.54090411318598,2.681741638835353,66.45684310920363
DECK,0.5006729950347314,106.66999816894531,5.113769342998534,2.184811531148128,1.937709992761349,-0.8169650572065488,-0.09365784140131939,32.4298902746815,-10.616724113989605,3.6039057874132205,66.08011444921317
OSPN,0.5315728850953734,13.119999885559082,6.835098965043494,0.03413054208906599,9.376317407081757,2.1106828077079896,15.935032369819504,0.0,27.40602875578314,3.0642515056956356,65.61754887935146
CMRE,0.5405802058205554,16.420000076293945,2.8000977215446374,0.8480563349052294,-3.09539906224535,0.5608306793876091,-2.0286405007423305,53.62540380978572,-6.332005515172908,3.8019851858386313,65.60324272770625
LOGI,0.5550250566230085,112.62999725341797,5.744854614031045,1.0274442073084777,9.315020426501551,1.6681138064120569,18.383432810373414,5.439578197775067,29.997689342752675,3.781027904292722,65.2074391988555
MMI,0.5197777256409316,28.829999923706055,6.553958920202153,0.18819928157366542,0.16677040770753632,0.25078345871859253,1.621427814060198,7.249940884369828,3.9225705422356643,3.238193801611225,64.69241773962804
AHRT,0.5289992820362068,6.920000076293945,7.617251006764036,-0.11734147670193705,7.821752399779509,2.002543280241899,14.003292923464414,1.3136944285280934,24.362247112454362,2.807596287537292,64.344301382928
BRC,0.5662748752209743,87.5199966430664,4.285058927128524,1.9715940222831283,4.594250632505774,0.5759734798661817,6.1878167767065335,20.7262089609035,3.6598322002666177,4.162317193061161,64.27753934191702
WMK,0.5075391042740149,72.30000305175781,3.1060720449466053,-0.19017355052845336,2.764284299632121,0.4778584719437171,7.056567043145591,10.446461808182331,8.636122012034859,3.4204775834084793,63.99618502622795
ERIC,0.5166449353375829,13.5,12.61641966424431,0.2663329874209334,10.44751652723084,2.3744709065543304,22.061478187966,0.0,18.733510428253158,2.6719582774651744,63.91988555078684
LLYVA,0.556229121057504,95.93000030517578,6.139900140927365,0.18779597048771465,2.1395760326689035,0.9393154726692103,5.0136857225039115,19.694332932569843,-1.2456239366511068,3.3234039444961465,63.44778254649499
MSM,0.5283034656162545,106.5,14.629793339161768,0.861660462796648,1.9060743695469835,1.2640077161785261,2.236730221741455,4.446960134766786,34.00871607731404,2.689470563616071,63.42870767763471
H,0.5364895041421743,174.14999389648438,5.532527488424511,-0.19368405634611227,4.301107662126107,0.8668939246804949,6.214922398934742,0.620402295398391,3.10042176603315,3.2078267796119593,63.33333333333334
HPQ,0.5410331940249996,25.239999771118164,6.125676886156621,4.272182008346607,19.045372811499355,1.8837093383997705,27.73279088301457,0.0,38.149967916454834,4.386461438917079,62.966142107773
CIVB,0.5283034656162545,25.459999084472656,6.297389330759158,-0.22293099069716335,2.392335068699715,0.5603174444020179,1.252897627233382,0.6397075622572537,17.379210194901244,2.99629690529195,62.8612303290415
TTWO,0.5165349091527097,227.5500030517578,6.510100521220956,4.127673076418444,0.5079518779826534,1.420287276409209,6.446179774440708,30.731627965131196,3.2909668177643,3.8007345389460934,62.746781115879834
LINE,0.5425597215633942,40.880001068115234,5.8997750219078,0.08769585238091365,6.718182564204078,1.5966265022687967,13.146968888579444,0.0,22.89845921096165,3.678011404872742,62.498807820696236
PFIS,0.5368495915974366,59.25,8.095131310936758,0.5986682085879916,2.4838272166844333,0.5985732607327366,3.1690748478517836,2.084189755816821,4.478929565311902,3.54912627382836,62.38912732474964
