Date,NAAIM,NAAIM_MA20,SP500_Price_x,SP500_Price_y
2006-07-05,19.44,,,
2006-07-12,31.2,,,
2006-07-19,18.76,,,
2006-07-26,17.375,,,
2006-08-02,44.23333333333333,,,
2006-08-09,45.01875,,,
2006-08-16,38.6,,,
2006-08-23,42.095238095238095,,,
2006-08-30,42.095238095238095,,,
2006-09-06,49.38095238095238,,,
2006-09-13,45.8,,,
2006-09-20,78.0,,,
2006-09-27,49.90476190476191,,,
2006-10-04,69.7,,,
2006-10-11,60.09090909090909,,,
2006-10-18,84.4090909090909,,,
2006-10-25,80.16,,,
2006-11-01,80.95833333333333,,,
2006-11-08,73.95652173913044,,,
2006-11-15,68.0952380952381,51.963668348861276,,
2006-11-22,92.42857142857144,55.613096920289856,,
2006-11-29,86.66821428571428,58.38650763457556,,
2006-12-06,74.73076923076923,61.18504609611402,,
2006-12-13,93.0,64.96629609611402,,
2006-12-20,92.9090909090909,67.40008397490192,,
2006-12-27,85.17391304347827,69.40784212707582,,
2007-01-03,100.04761904761904,72.48022307945678,,
2007-01-10,58.88461538461539,73.31969194392565,,
2007-01-17,84.89473684210526,75.459666881269,,
2007-01-24,72.5909090909091,76.62016471676682,,
2007-01-31,80.75,78.36766471676682,,
2007-02-07,82.0,78.56766471676683,,
2007-02-14,79.0909090909091,80.0269720760742,,
2007-02-21,73.68181818181819,80.2260629851651,,
2007-02-28,89.33333333333333,81.68818419728632,,
2007-03-07,52.4,80.08772965183176,,
2007-03-14,38.05263157894737,77.98236123077915,,
2007-03-21,47.69565217391305,76.31922717280813,,
2007-03-28,44.54166666666666,74.84848441918493,,
2007-04-04,45.65384615384615,73.72641482211534,,
2007-04-11,59.32,72.07098625068677,,
2007-04-18,54.142857142857146,70.44471839354391,,
2007-04-25,75.42307692307692,70.4793337781593,,
2007-05-02,82.66666666666667,69.96266711149262,,
2007-05-09,73.83333333333333,69.00887923270474,,
2007-05-16,87.375,69.11893358053084,,
2007-05-23,82.5,68.24155262814989,,
2007-05-30,80.54545454545455,69.32459458619184,,
2007-06-06,57.63333333333333,67.96152441075324,,
2007-06-13,53.04,66.98397895620779,,
2007-06-20,61.47222222222222,66.0200900673189,,
2007-06-27,74.2258064516129,65.63138038989955,,
2007-07-05,56.0625,64.47995993535409,,
2007-07-11,62.39393939393939,63.91556599596015,,
2007-07-18,74.13333333333334,63.155565995960146,,
2007-07-25,40.58064516129032,62.564598254024666,,
2007-08-01,39.0,62.61196667507729,,
2007-08-08,43.81818181818182,62.41809315729073,,
2007-08-15,21.25,61.2535098239574,,
2007-08-22,38.1875,60.8801925162651,,
2007-08-29,-2.111111111111111,57.808636960709535,,
2007-09-05,39.625,57.082744103566675,,
2007-09-12,46.55172413793103,55.63917646430939,,
2007-09-19,63.5,54.680843130976065,,
2007-09-26,77.36363636363636,54.857358282491205,,
2007-10-03,75.49484848484849,54.263350706733625,,
