Ticker,Win_Prob,Price,RS_Rating,Bias,Vol_Dry_Up,Vol_Z,Up_Shadow,Dn_Shadow,Turtle,Ov_Supply,POC_Dist,MA20_DP,ATR_Pct,Dist_52W_High,MA50_DP,VCP_Ratio,Dollar_Vol_M,Resonance_Score,MktCap_B,Cap_Tier
AMCX,0.564359139237601,12.420000076293945,47.369228903581686,6.884682853513954,0.8406422741755527,-0.21228441534863676,2.293079933233241,0.32206088248062625,0,0.0,10.892859711574653,-7.601179618109417,3.7524720227563755,-2.471968574714792,7.14285984530704,0.7481229797494414,8.05,67.14414414414415,0.51,Small
LILAK,0.5706768587346714,8.350000381469727,38.893141829452006,0.16494604409370628,1.0576195882749269,-0.5121779275798746,2.275443972220556,0.0,0,7.415067749764666,57.54717132824288,-7.94271024830134,3.437979437510024,-5.532293026740426,10.973741511078158,0.7015521071341408,14.96,64.3018018018018,1.64,Small
MAN,0.5604932741737063,61.38999938964844,127.93693358551133,8.041990826921563,0.8122933518145106,-0.674586933376523,1.9058511080891214,0.8470442464980441,0,0.6461477685663295,69.58563009700802,-0.8011930684517469,3.437041560342842,-2.447164957944887,1.3235316556653467,0.946394074511055,84.56,63.44894894894896,2.86,Mid
LILA,0.5732481271318772,8.420000076293945,42.25825321669008,-0.1452755097865738,0.6314486203308607,-0.8328065570513948,0.9679341170737203,0.593826487836952,0,7.7763535370435415,59.46969206663862,-7.958920263357894,3.598150544948657,-5.393253514112641,10.562024524522032,0.7444025389149879,6.92,63.2042042042042,1.65,Small
KFRC,0.5658515944817842,57.689998626708984,111.87441832649803,-0.8226134210335667,0.8378246925264494,-0.2741296739938018,0.9013702030388182,0.4160129476138664,0,17.732152228884047,26.784785510264836,0.8601410473148133,3.427185770433548,-6.46887428446931,8.303031535896025,0.8918895475944372,14.02,63.16516516516516,1.03,Small
ADPT,0.6227441858767716,25.549999237060547,53.54055310990034,4.347468031216642,0.6135167231730574,-0.48058241124394513,1.4090043878173106,1.761248019610426,0,0.6115061300392962,52.26458993456456,-2.5288361652473106,4.456528478640884,-2.3318066280057304,6.406828002428634,0.8496732340405262,79.14,61.17117117117117,4.08,Mid
LPG,0.5503068555624206,51.31999969482422,42.77378539161663,10.293247785995115,0.7721174761263193,-0.5039615766992479,0.7794262046955028,0.8573628786377137,0,0.0,9.970543961707257,-4.623089925540696,3.7053220676372884,-1.4971186221230732,9.141022739458181,1.0033514157949284,35.28,60.90390390390391,2.2,Mid
SXC,0.6076175691766738,9.609999656677246,55.63188418413407,4.862615146174567,0.716985480888438,-0.3688068422367686,1.862642114402902,0.0,0,0.38021514730570266,64.47193980520012,6.76274997923922,3.984917896842312,-3.2128134484342192,8.57142360512347,0.9086253246459873,14.77,60.74774774774775,0.82,Small
ZD,0.6130427605143768,55.72999954223633,76.1192716807119,2.6363510742269147,0.6565477613651092,-0.4283645525613999,0.9689591242655609,0.4485914266086537,0,1.1208744508121418,34.353905874918425,-3.1512560960969966,3.8130266373161215,-4.013092965730471,-0.6340120030215503,0.7586321459639587,36.68,59.78678678678679,1.91,Small
ELVN,0.580265498419705,61.150001525878906,110.29233736056166,4.802672990434762,0.5965030985122445,-0.0024516846675736235,1.3736715153124939,0.4905956329840485,0,0.0,22.104631169838836,-10.059733087466476,3.762410732476931,-1.8774040029780503,-11.744295817568373,0.7219870949408074,89.31,59.507507507507505,4.48,Mid
