date,value,breadth_200,breadth_50
2007-11-20,1439.699951171875,46.82927,32.52032470703125
2007-11-21,1416.77001953125,43.414635,28.211382548014324
2007-11-23,1440.699951171875,46.341465,28.211382548014324
2007-11-26,1407.219970703125,41.951218,26.178861618041992
2007-11-27,1428.22998046875,43.90244,26.504065195719402
2007-11-28,1469.02001953125,51.707314,30.000001271565754
2007-11-29,1469.719970703125,51.463413,35.203254063924156
2007-11-30,1481.1400146484375,53.41464,40.813009897867836
2007-12-03,1472.4200439453125,52.19512,41.219512939453125
2007-12-04,1462.7900390625,51.219513,40.40650431315104
2007-12-05,1485.010009765625,54.146343,41.30081303914388
2007-12-06,1507.3399658203125,58.536583,46.74796803792318
2007-12-07,1504.6600341796875,58.780487,54.065040588378906
2007-12-10,1515.9599609375,60.243904,60.08130009969076
2007-12-11,1477.6500244140625,54.146343,55.77235666910807
2007-12-12,1486.5899658203125,55.365856,52.52032470703125
2007-12-13,1488.4100341796875,55.85366,47.96747970581055
2007-12-14,1467.949951171875,50.243904,47.56097539265951
2007-12-17,1445.9000244140625,45.609756,41.78861745198568
2007-12-18,1454.97998046875,46.341465,37.56097539265951
2007-12-19,1453.0,46.82927,35.528455098470054
2007-12-20,1460.1199951171875,48.536587,38.780487060546875
2007-12-21,1484.4599609375,51.951218,43.73983510335287
2007-12-24,1496.449951171875,54.634148,51.21951166788737
2007-12-26,1497.6600341796875,54.146343,56.991869608561196
2007-12-27,1476.27001953125,50.243904,55.853660583496094
2007-12-28,1478.489990234375,49.756096,53.414634704589844
2007-12-31,1468.3599853515625,48.04878,49.430895487467446
2008-01-02,1447.1600341796875,42.579075,43.95703633626302
2008-01-03,1447.1600341796875,40.87591,37.18315569559733
2008-01-04,1411.6300048828125,37.712894,28.1427427927653
2008-01-07,1416.1800537109375,38.199512,25.54744593302409
2008-01-08,1390.18994140625,34.793186,21.816707611083984
2008-01-09,1409.1300048828125,36.00973,23.033252080281574
2008-01-10,1420.3299560546875,36.73966,24.168694814046223
2008-01-11,1401.02001953125,34.793186,24.81751887003581
2008-01-14,1416.25,36.49635,25.38523991902669
2008-01-15,1380.949951171875,31.63017,22.0600159962972
2008-01-16,1373.199951171875,29.927006,20.113544464111328
2008-01-17,1333.25,23.357664,15.32846736907959
2008-01-18,1325.18994140625,21.89781,12.003244717915853
2008-01-22,1310.5,18.734793,8.921330134073893
2008-01-23,1338.5999755859375,22.141119,11.354420026143393
2008-01-24,1352.0699462890625,22.141119,13.544200579325357
2008-01-25,1330.6099853515625,20.437956,15.571775754292807
2008-01-28,1353.9599609375,22.871046,16.13949743906657
2008-01-29,1362.300048828125,24.087591,18.978102684020996
2008-01-30,1355.81005859375,22.627737,21.57339859008789
2008-01-31,1378.550048828125,27.737226,25.54744529724121
2008-02-01,1395.4200439453125,33.819954,31.062449137369793
2008-02-04,1380.8199462890625,30.413624,36.009731928507485
2008-02-05,1336.6400146484375,22.384428,33.17112668355306
2008-02-06,1326.449951171875,20.681265,26.520680745442707
2008-02-07,1336.9100341796875,23.357664,22.95214907328288
2008-02-08,1331.2900390625,21.654501,22.222222010294598
2008-02-11,1339.1300048828125,23.357664,23.438767115275066
